IdTweet,IdUser,UserName,ScreenName,Location,TweetAt,UploadTweet,OriginalTweet
1471307234743181312,109296112,Hanamichi sakuragi,Slampdunk88,"Kota Surabaya, Jawa Timur",2021-12-16 02:32:34+00:00,Twitter for iPhone,@victorpangkey @KPK_RI Ya orangnya mas. Namanya korupsi ya dari niat. Apakah jaminan jika itu dilaksanakan maka korupsi juga ikutan 0%?
1471307234298585095,1331941980138475521,Pejuang Putih,putih_pejuang,,2021-12-16 02:32:34+00:00,Twitter Web App,"RT @WartegPerjuang1: Dekat sini,  kita lagi asyiek bicara ttg KPK sekarang  malahan bukan sikat Koruptor malahan jadi kompradornya Koruptor…"
1471307222713917443,1272379500106444800,ANS,ANIZ0604,"Kota Surabaya, Jawa Timur",2021-12-16 02:32:32+00:00,Twitter for Android,@_ekokuntadhi Maksa amat pak...pake duit sendiri ya...kalau pake duit negara siap2 kpk sdh di drpan pintu balai kot… https://t.co/KUabUU471L
1471307217252982785,1331941980138475521,Pejuang Putih,putih_pejuang,,2021-12-16 02:32:30+00:00,Twitter Web App,"RT @WartegPerjuang1: Kalo KPK tak mampu bongkar Mafioso PCR lantas sapa lagi?
#KPKTakutUsutMafiaPCR
#KPKTakutUsutMafiaPCR"
1471307179084824579,1463390850705022980,Nasgor Sea,NasgorSea,,2021-12-16 02:32:21+00:00,Twitter for Android,RT @KPK_RI: [BERITA KPK] Wakil Ketua KPK Alexander Marwata menghadiri peringatan Hari Antikorupsi Sedunia (HAKORDIA) di Kantor BPJS Ketenag…
1471307108532375553,97605534,Donny Mulyawan 🇮🇩,donnydram,"Bandung, Jawa Barat",2021-12-16 02:32:04+00:00,Twitter for Android,"@FerdinandHaean3 Hallo KPK. 
Jadi kangen kamu.. Iya kamoo🤪"
1471307059933024256,1276915309425770496,Kopi Ireng,KangPoer12,"Santa Fe, Argentina",2021-12-16 02:31:53+00:00,Twitter for Android,"@tri_suharjanto @FerdinandHaean3 @KPK_RI @FerdinandHaean3 poliTIKUS gagal, sudah nilep uang relawan, akhirnya cari perhatian 🤣🤣🤣"
1471307059563941890,1424706885253419021,jeje,jejejan08,"Kalimantan Tengah, Indonesia",2021-12-16 02:31:53+00:00,Twitter for Android,"Polri, Kejaksaan RI, &amp; KPK Semakin Efektif, Berani Dan Profesional Dalam Memberantas Korupsi
Ayo Disiplin Prokes https://t.co/sNIsC7BMTd"
1471307037485137922,1001650300741009409,MataRakyatJakarta|#TheNextJokowi,Ar07Pangeran,"Jakarta, Indonesia",2021-12-16 02:31:47+00:00,Twitter for Android,"@Sintamahalona @KPK_RI Aneh...menyelenggarakan event Internasional kok spt bikin acara 17 an?

Katanya Profesional?"
1471307006971551744,1331941980138475521,Pejuang Putih,putih_pejuang,,2021-12-16 02:31:40+00:00,Twitter Web App,"RT @WartegPerjuang1: Pemimpin KPK itu harus berhati Singa, luas pandangannya dan tak takut apa pun.

""Singa hanya tidur dihati Para Pembera…"
1471307001980325889,1218988439514693633,Al Mukarom Ustad Zulkarnaen Zombie,tukangaduayam,"cijabon,Sukabumi",2021-12-16 02:31:39+00:00,Twitter for Android,@FerdinandHaean3 @KPK_RI Kantor kontraktor pemenang revitalisasi Monas buat sirkuit Formula e kabarnya cuma lapak b… https://t.co/Em1x2LO5cc
1471306908199841793,1372399835689619456,Ed Haris.,EDHARIS3,,2021-12-16 02:31:17+00:00,Twitter for Android,"@FerdinandHaean3 @KPK_RI Tidak akan pernah ada kata gagal bagi si Anies.
Penundaan."
1471306871449415682,2718882018,Ariel Moshe אריאל משה,ambarukmo15,Mt. Top Hill,2021-12-16 02:31:08+00:00,Twitter for Android,@FerdinandHaean3 @KPK_RI BERADU DAN BALAPAN MULUT
1471306732785700868,743329198589108225,@londoireng,nazi_8303, Indonesia,2021-12-16 02:30:35+00:00,Twitter for Android,"@FerdinandHaean3 @KPK_RI Yg repot hati n mulutnya kan kalian saja selama ini monyong. Slow aja, tunggu sampai acara… https://t.co/9QtP76GRY4"
1471306661532868612,1337026329879793666,baliandra,baliandra2,,2021-12-16 02:30:18+00:00,Twitter for iPhone,RT @KangUtang04: @CintaNirmala2 @TRIOKWEKKWEKkI2 @freedomland1945 @R_Kleptoz @SanusiUndins @Hail_Indonesia @NaffA_HayA4603N @Gangs_goblok @…
1471306595409674243,1337026329879793666,baliandra,baliandra2,,2021-12-16 02:30:02+00:00,Twitter for iPhone,RT @KangUtang04: @Hmmurahmurahhm2 @KiLurahIdiot @Korban_Rezim @ANDI_ALFARIS1 @Tya_Samarinda @PandoraPapers22 @Abdulla3new @AnisHudaya @sapu…
1471306554825535489,1469142183525511175,Elia Taro,elia_taro,"Jakarta Capital Region, Indone",2021-12-16 02:29:52+00:00,Twitter for Android,"RT @FerdinandHaean3: Jk gagal Juni 2022, mk Anies Baswedan hrs dipenjarakan karena telah merugikan keuangan negara sangat besar..!!! Rakyat…"
1471306443714297857,393381099,Agustinus,Fusianto,Surakarta Jawa Tengah,2021-12-16 02:29:26+00:00,Twitter for Android,"@GarengHallu https://t.co/junMabGnUY lha iya lho, udah tahu gini tapi @KPK_RI PURA2 ga tahu 🤦, telanjur TAKUT DIGERUDUK @KataBewe lagi 🤮"
1471306298935296004,1275456665471471626,Raja Rizky,RajaRizky83,"DKI Jakarta, Indonesia",2021-12-16 02:28:51+00:00,Twitter for Android,"@FerdinandHaean3 @KPK_RI Semoga Hujan Deras Nonstop
#JakartaRasaPuncak"
1471306263686365185,181899953,Jaya selalu NKRI,hank_jkt,"Jakarta, Indonesia",2021-12-16 02:28:43+00:00,Twitter Web App,"RT @FerdinandHaean3: Jk gagal Juni 2022, mk Anies Baswedan hrs dipenjarakan karena telah merugikan keuangan negara sangat besar..!!! Rakyat…"
